datasaet: amazon_computer,  model: sage.
epoch: 3, val_loss: 1.259190559387207
epoch: 4, val_loss: 1.142935037612915
epoch: 5, val_loss: 1.1013853549957275
epoch: 6, val_loss: 1.0306670665740967
epoch: 7, val_loss: 1.0227880477905273
epoch: 8, val_loss: 0.9886883497238159
epoch: 9, val_loss: 0.9774466156959534
epoch: 10, val_loss: 0.9487059116363525
epoch: 11, val_loss: 0.8819404244422913
epoch: 12, val_loss: 0.9235855937004089
epoch: 13, val_loss: 0.9059567451477051
epoch: 14, val_loss: 0.8927596211433411
epoch: 15, val_loss: 0.8342304825782776
epoch: 16, val_loss: 0.8343439102172852
epoch: 17, val_loss: 0.8086395263671875
epoch: 18, val_loss: 0.8591381311416626
epoch: 19, val_loss: 0.8042906522750854
epoch: 20, val_loss: 0.8350955247879028
epoch: 21, val_loss: 0.8777339458465576
epoch: 22, val_loss: 0.9155412912368774
epoch: 23, val_loss: 0.826846182346344
epoch: 24, val_loss: 0.8134016394615173
Final epoch: 24
beta:0.0,accuracy:0.77197265625

time of one repeat:175.3412046432495
time of construct data:56.01460576057434
epoch: 0, val_loss: 2.5378448963165283
epoch: 1, val_loss: 1.6308393478393555
epoch: 2, val_loss: 1.535508394241333
epoch: 3, val_loss: 1.4529284238815308
epoch: 4, val_loss: 1.2623534202575684
epoch: 5, val_loss: 1.151511549949646
epoch: 6, val_loss: 1.0868607759475708
epoch: 7, val_loss: 1.0706850290298462
epoch: 8, val_loss: 1.0184143781661987
epoch: 9, val_loss: 0.9989067316055298
epoch: 10, val_loss: 0.9907556772232056
epoch: 11, val_loss: 0.9687444567680359
epoch: 12, val_loss: 0.9033793210983276
epoch: 13, val_loss: 0.9485822319984436
epoch: 14, val_loss: 0.9584256410598755
epoch: 15, val_loss: 0.9346759915351868
epoch: 16, val_loss: 0.9037686586380005
epoch: 17, val_loss: 0.8850175142288208
epoch: 18, val_loss: 0.9113218188285828
epoch: 19, val_loss: 0.8578377366065979
epoch: 20, val_loss: 0.8629610538482666
epoch: 21, val_loss: 0.9451141357421875
epoch: 22, val_loss: 0.8428899049758911
epoch: 23, val_loss: 0.8830336332321167
epoch: 24, val_loss: 0.8565936088562012
epoch: 25, val_loss: 0.913733184337616
epoch: 26, val_loss: 0.9321338534355164
epoch: 27, val_loss: 0.9127230644226074
Final epoch: 27
beta:0.0,accuracy:0.765625

time of one repeat:194.5361168384552
time of construct data:55.859145164489746
epoch: 0, val_loss: 2.129272699356079
epoch: 1, val_loss: 1.9197862148284912
epoch: 2, val_loss: 1.6240448951721191
epoch: 3, val_loss: 1.4042384624481201
epoch: 4, val_loss: 1.3335933685302734
epoch: 5, val_loss: 1.1869056224822998
epoch: 6, val_loss: 1.0797072649002075
epoch: 7, val_loss: 1.0132113695144653
epoch: 8, val_loss: 1.0404949188232422
epoch: 9, val_loss: 1.0614911317825317
epoch: 10, val_loss: 1.0258574485778809
epoch: 11, val_loss: 0.954766571521759
epoch: 12, val_loss: 0.8822543621063232
epoch: 13, val_loss: 0.8678240180015564
epoch: 14, val_loss: 0.8529881834983826
epoch: 15, val_loss: 0.853803813457489
epoch: 16, val_loss: 0.8679990768432617
epoch: 17, val_loss: 0.8310249447822571
epoch: 18, val_loss: 0.8877143859863281
epoch: 19, val_loss: 0.8495250344276428
epoch: 20, val_loss: 0.8526098132133484
epoch: 21, val_loss: 0.8476040363311768
epoch: 22, val_loss: 0.848700761795044
Final epoch: 22
beta:0.0,accuracy:0.72998046875

time of one repeat:169.15351676940918
time of construct data:55.69651699066162
epoch: 0, val_loss: 1.96511709690094
epoch: 1, val_loss: 1.480329990386963
epoch: 2, val_loss: 1.4065684080123901
epoch: 3, val_loss: 1.3154945373535156
epoch: 4, val_loss: 1.1892426013946533
epoch: 5, val_loss: 1.0853726863861084
epoch: 6, val_loss: 0.9978461861610413
epoch: 7, val_loss: 0.9557778835296631
epoch: 8, val_loss: 0.9351454377174377
epoch: 9, val_loss: 0.9236274361610413
epoch: 10, val_loss: 0.8856110572814941
epoch: 11, val_loss: 0.8775079250335693
epoch: 12, val_loss: 0.8709230422973633
epoch: 13, val_loss: 0.9009270668029785
epoch: 14, val_loss: 0.8753158450126648
epoch: 15, val_loss: 0.9305889010429382
epoch: 16, val_loss: 0.9223901629447937
epoch: 17, val_loss: 0.8350918292999268
epoch: 18, val_loss: 0.8481869101524353
epoch: 19, val_loss: 0.8366362452507019
epoch: 20, val_loss: 0.833845317363739
epoch: 21, val_loss: 0.8747470378875732
epoch: 22, val_loss: 0.8357738256454468
epoch: 23, val_loss: 0.8043347597122192
epoch: 24, val_loss: 0.8620725870132446
epoch: 25, val_loss: 0.818057119846344
epoch: 26, val_loss: 0.80769944190979
epoch: 27, val_loss: 0.79572594165802
epoch: 28, val_loss: 0.8098409175872803
